,,Binomial,,Broad-Enrich,,Broad-Enrich NS,,FET,
Histone,Cell Line,Permuted,In Bins,Permuted,In Bins,Permuted,In Bins,Permuted,In Bins
H2az,Gm12878,0.3092,0.3901,0.0411,0.0463,0.0476,0.0716,0.0409,0.0603
H3k27ac,Gm12878,0.3127,0.3368,0.0527,0.0352,0.0426,0.1295,0.0387,0.0398
H3k27me3,Gm12878,0.2195,0.2409,0.0494,0.0444,0.0398,0.1105,0.0385,0.1401
H3k36me3,Gm12878,0.1923,0.2369,0.0455,0.0320,0.0381,0.1375,0.0411,0.0307
H3k4me1,Gm12878,0.3749,0.4045,0.0357,0.0398,0.0313,0.1558,0.0422,0.0650
H3k4me2,Gm12878,0.3205,0.3490,0.0855,0.0396,0.0437,0.1031,0.0326,0.0751
H3k4me3,Gm12878,0.4110,0.3033,0.0365,0.0483,0.0479,0.0790,0.0379,0.0675
H3k79me2,Gm12878,0.2998,0.2650,0.0346,0.0535,0.0365,0.0426,0.0402,0.0431
H3k9ac,Gm12878,0.2759,0.3087,0.0446,0.0324,0.0498,0.0725,0.0476,0.0426
H3k9me3,Gm12878,0.3199,0.3427,0.0309,0.0361,0.0357,0.0642,0.0407,0.2215
H4k20me1,Gm12878,0.2422,0.2689,0.0383,0.0331,0.0346,0.1108,0.0346,0.0781
H2az,H1hesc,0.3869,0.2950,0.0372,0.0402,0.0392,0.0646,0.0398,0.0814
H3k27ac,H1hesc,0.2678,0.3024,0.0415,0.0490,0.0392,0.0731,0.0437,0.0907
H3k27me3,H1hesc,0.2568,0.2328,0.0368,0.0398,0.0352,0.0883,0.0385,0.1678
H3k36me3,H1hesc,0.2172,0.2280,0.0403,0.0342,0.0477,0.1297,0.0476,0.0477
H3k4me1,H1hesc,0.3327,0.2857,0.0405,0.0501,0.0333,0.1584,0.0392,0.1005
H3k4me2,H1hesc,0.3571,0.3174,0.0522,0.0661,0.0385,0.0557,0.0468,0.0818
H3k4me3,H1hesc,0.2361,0.2487,0.0501,0.0305,0.0339,0.0522,0.0337,0.0540
H3k79me2,H1hesc,0.3087,0.3155,0.0644,0.0376,0.0318,0.0398,0.0396,0.0642
H3k9ac,H1hesc,0.3190,0.2887,0.0370,0.0487,0.0629,0.0927,0.0435,0.0968
H3k9me3,H1hesc,0.2328,0.2826,0.0427,0.0396,0.0241,0.0509,0.0494,0.2469
H4k20me1,H1hesc,0.3205,0.2509,0.0444,0.0518,0.0472,0.0831,0.0377,0.1062
H2az,Helas3,0.3886,0.3397,0.0353,0.0344,0.0294,0.0252,0.0394,0.0548
H3k27ac,Helas3,0.3494,0.2800,0.0335,0.0431,0.0374,0.1166,0.0361,0.0505
H3k27me3,Helas3,0.2415,0.2776,0.0437,0.0446,0.0446,0.1121,0.0453,0.1223
H3k36me3,Helas3,0.2522,0.2778,0.0389,0.0453,0.0357,0.0972,0.0472,0.0727
H3k4me1,Helas3,0.4260,0.4325,0.0442,0.0357,0.0522,0.1195,0.0383,0.0648
H3k4me2,Helas3,0.3681,0.3429,0.0616,0.0561,0.0355,0.0872,0.0254,0.0738
H3k4me3,Helas3,0.2950,0.3164,0.0348,0.0377,0.0357,0.0742,0.0442,0.0476
H3k79me2,Helas3,0.3436,0.3038,0.0377,0.0511,0.0400,0.0725,0.0461,0.0620
H3k9ac,Helas3,0.2974,0.2702,0.0457,0.0348,0.0387,0.0550,0.0483,0.0520
H3k9me3,Helas3,0.3035,0.2470,0.0377,0.0437,0.0311,0.0674,0.0287,0.1997
H4k20me1,Helas3,0.2953,0.3830,0.0403,0.0353,0.0357,0.0664,0.0390,0.1255
H2az,Hepg2,0.3249,0.2846,0.0368,0.0544,0.0361,0.0644,0.0409,0.0555
H3k27ac,Hepg2,0.3383,0.3216,0.0420,0.0329,0.0439,0.1255,0.0461,0.0370
H3k27me3,Hepg2,0.3014,0.2859,0.0439,0.0509,0.0476,0.0951,0.0377,0.0816
H3k36me3,Hepg2,0.2976,0.2459,0.0427,0.0429,0.0376,0.1893,0.0477,0.0392
H3k4me1,Hepg2,0.4030,0.3625,0.0453,0.0437,0.0659,0.1719,0.0392,0.0949
H3k4me2,Hepg2,0.4334,0.3740,0.0292,0.0481,0.0346,0.1070,0.0426,0.0835
H3k4me3,Hepg2,0.3531,0.3311,0.0455,0.0540,0.0446,0.1386,0.0366,0.0444
H3k79me2,Hepg2,0.3292,0.2635,0.0446,0.0363,0.0922,0.0431,0.0400,0.0514
H3k9ac,Hepg2,0.3298,0.3118,0.0581,0.0390,0.0381,0.0377,0.0461,0.0413
H3k9me3,Hepg2,0.2837,0.3370,0.0470,0.0435,0.0313,0.0575,0.0346,0.2543
H4k20me1,Hepg2,0.2552,0.2720,0.0455,0.0411,0.0411,0.0981,0.0522,0.1195
H2az,K562,0.3647,0.3705,0.0361,0.0376,0.0466,0.0964,0.0363,0.0563
H3k27ac,K562,0.4110,0.3394,0.0287,0.0405,0.0461,0.1442,0.0396,0.0513
H3k27me3,K562,0.2909,0.2715,0.0387,0.0533,0.0374,0.1107,0.0492,0.1355
H3k36me3,K562,0.2691,0.2541,0.0518,0.0550,0.0453,0.1273,0.0359,0.0435
H3k4me1,K562,0.4010,0.3546,0.0366,0.0435,0.0429,0.1628,0.0383,0.0402
H3k4me2,K562,0.3871,0.3568,0.0468,0.0409,0.0400,0.1301,0.0300,0.0326
H3k4me3,K562,0.3451,0.2907,0.0485,0.0394,0.0370,0.1158,0.0439,0.0452
H3k79me2,K562,0.2659,0.2432,0.0377,0.0470,0.0498,0.0457,0.0289,0.0389
H3k9ac,K562,0.3531,0.3259,0.0339,0.0492,0.0405,0.0659,0.0346,0.0387
H3k9me3,K562,0.2807,0.2400,0.0361,0.0372,0.0370,0.0509,0.0372,0.1784
H4k20me1,K562,0.2446,0.2837,0.0540,0.0390,0.0426,0.1447,0.0575,0.0894
