GO ID,Description,Broad-Enrich Rank,GREAT Rank,% GS Avg Coverage
A.     Broad-Enrich Results,,,,
GO:0002684,positive regulation of immune system process,3,165,32
GO:0002764,immune response-regulating signaling pathway,4,647,37
GO:0045321,leukocyte activation,5,74,31
GO:0046649,lymphocyte activation,7,80,32
GO:0051249,regulation of lymphocyte activation,10,182,34
GO:0035556,intracellular signal,11,63,25
,transduction,,,
GO:0050778,positive regulation of immune response,13,426,33
GO:0012501,programmed cell death,14,26,26
GO:0031347,regulation of defense response,15,452,33
GO:0002694,regulation of leukocyte,16,148,32
,activation,,,
B.      GREAT Results,,,,
GO:0031981,nuclear lumen,27,1,26
GO:0046907,intracellular transport,47,3,28
GO:0002376,immune system process,1,5,28
GO:0005524,ATP binding,366,7,22
GO:0043687,post-translational protein,"2,009",8,22
,modification,,,
GO:0032553,ribonucleotide binding,338,10,22
GO:0006917,induction of apoptosis,30,11,31
GO:0017076,purine nucleotide binding,308,12,22
GO:0033554,cellular response to stress,112,13,26
GO:0005739,mitochondrion,281,16,25
,,,,
