annot.type ,DM_status,n
hg19_chromatin_K562-Insulator,hyper,66
hg19_chromatin_K562-Insulator,hypo,11
hg19_chromatin_K562-Insulator,none,394
hg19_cpg_inter,hyper,523
hg19_cpg_inter,hypo,596
hg19_cpg_inter,none,7052
hg19_cpg_islands,hyper,976
hg19_cpg_islands,hypo,50
hg19_cpg_islands,none,4621
hg19_cpg_shelves,hyper,63
hg19_cpg_shelves,hypo,70
hg19_cpg_shelves,none,1114
hg19_cpg_shores,hyper,477
hg19_cpg_shores,hypo,151
hg19_cpg_shores,none,2963
hg19_enhancers_fantom,hyper,100
hg19_enhancers_fantom,hypo,11
hg19_enhancers_fantom,none,497
hg19_genes_1to5kb,hyper,322
hg19_genes_1to5kb,hypo,91
hg19_genes_1to5kb,none,2334
hg19_genes_3UTRs,hyper,69
hg19_genes_3UTRs,hypo,31
hg19_genes_3UTRs,none,456
hg19_genes_5UTRs,hyper,191
hg19_genes_5UTRs,hypo,20
hg19_genes_5UTRs,none,1450
