Feature,annotatr,goldmine,ChIPpeakAnno
Built-in Annotation Types,,,
CpG features,Yes,Yes,No
Genic features ,Yes,Yes,Yes
A la carte selection of genic features,Yes,No,No
Enhancers,Yes,Yes,No
miRNA,No,Yes,Yes
lncRNAs,Yes,Yes,No
Chromatin States,Yes,Yes,No
Custom Annotations,Yes,Yes,Yes
Import Annotations from UCSC Tables,No,Yes,No
Annotation Reporting,,,
One-to-many annotation reporting,Yes,Yes,No
Prioritized annotation reporting,No,Yes,Yes
Summaries and Plots,,,
Summarization functions,Yes,Yes,Yes
Plot regions per annotation type,Yes,No,Yes
Plot regions per pair of annotation types,Yes,No,No
Plot region data over annotations,Yes,No,No
Plot region data over pairs of annotations,Yes,No,No
